U.S. Regional Level,Code,ID Code,U.S. Regional Title,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Total
Metropolitan Statistical Area,123420,23420,"Fresno, CA",58,40,44,36,40,39,33,27,25,31,39,56,53,73,78,72,744
Metropolitan Statistical Area,112260,12260,"Augusta-Richmond County, GA-SC",38,50,61,44,29,29,31,41,41,39,56,52,61,58,56,54,740
Metropolitan Statistical Area,116860,16860,"Chattanooga, TN-GA",60,71,53,44,53,43,36,35,37,29,40,33,45,47,57,45,728
Metropolitan Statistical Area,126820,26820,"Idaho Falls, ID",37,38,44,35,39,43,61,61,32,36,69,51,39,61,46,34,726
Metropolitan Statistical Area,121140,21140,"Elkhart-Goshen, IN",50,47,39,43,53,47,39,44,27,30,43,44,49,57,54,47,713
Metropolitan Statistical Area,113460,13460,"Bend, OR",31,31,24,21,29,44,46,39,37,49,46,61,35,63,63,67,686
Metropolitan Statistical Area,122220,22220,"Fayetteville-Springdale-Rogers, AR-MO",48,31,47,32,42,30,39,31,26,32,31,42,52,54,66,80,683
Metropolitan Statistical Area,112700,12700,"Barnstable Town, MA",50,46,32,42,44,33,46,40,39,35,45,32,48,40,53,52,677
Metropolitan Statistical Area,143100,43100,"Sheboygan, WI",33,43,50,38,45,38,37,23,27,44,47,35,37,40,60,60,657
Metropolitan Statistical Area,133780,33780,"Monroe, MI",38,42,36,35,48,18,37,23,35,34,47,46,41,57,63,56,656
Metropolitan Statistical Area,113380,13380,"Bellingham, WA",41,31,32,34,31,32,39,42,32,33,45,43,36,48,44,56,619
Metropolitan Statistical Area,112020,12020,"Athens-Clarke County, GA",66,46,37,29,27,23,26,26,40,30,40,48,40,38,51,49,616
Metropolitan Statistical Area,141420,41420,"Salem, OR",38,43,41,37,50,32,44,41,23,26,37,38,37,45,46,36,614
Metropolitan Statistical Area,142140,42140,"Santa Fe, NM",30,37,29,40,34,20,46,27,30,33,63,47,41,46,40,50,613
Metropolitan Statistical Area,137860,37860,"Pensacola-Ferry Pass-Brent, FL",52,31,27,42,28,44,28,40,31,29,33,40,35,37,48,48,593
Metropolitan Statistical Area,124580,24580,"Green Bay, WI",45,54,42,35,31,36,50,32,28,29,30,31,30,37,28,42,580
Metropolitan Statistical Area,133700,33700,"Modesto, CA",42,54,35,32,32,14,37,30,23,19,34,43,43,45,51,36,570
Metropolitan Statistical Area,122380,22380,"Flagstaff, AZ",27,25,24,26,23,25,19,13,19,20,41,58,63,52,68,64,564
Metropolitan Statistical Area,121340,21340,"El Paso, TX",29,32,46,45,51,36,39,33,25,16,23,23,28,29,38,34,527
Metropolitan Statistical Area,136500,36500,"Olympia, WA",21,30,35,28,27,20,33,28,34,21,34,36,38,50,40,43,518
Metropolitan Statistical Area,120740,20740,"Eau Claire, WI",36,34,29,32,45,40,33,20,24,23,33,22,28,30,38,43,510
Metropolitan Statistical Area,147940,47940,"Waterloo-Cedar Falls, IA",23,33,42,32,32,32,31,24,21,31,25,29,30,46,28,49,508
Metropolitan Statistical Area,129460,29460,"Lakeland-Winter Haven, FL",39,39,31,40,37,19,20,27,26,18,16,38,51,36,34,40,507
Metropolitan Statistical Area,131340,31340,"Lynchburg, VA",37,38,41,31,23,26,17,27,26,21,23,31,25,51,42,46,505
Metropolitan Statistical Area,117860,17860,"Columbia, MO",22,32,27,30,24,19,32,18,12,18,31,39,49,48,58,34,493
